,Name,Cuisines,City,Rating,NumberOfReviews
264,Al Bayt Restaurant ,International,Makkah,4.5,44
265,Noug Cafe ,International,Jeddah,4.6,24
266,Cafe Milano ,"Italian, International",Jeddah,4.5,24
267,Hunt Coffee ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.6,8
268,Makan Indian Restaurant ,Indian,Jeddah,4.5,25
269,Al Orjouan Restaurant ,"Arabic, International, Lebanese",Riyadh,4.6,23
270,Sultan's Steakhouse ,"American, Mexican, Turkish",Riyadh,4.5,29
271,Sulala Speciality Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.6,12
272,Bamboo Garden Cafe ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.5,11
273,Al Rabea Restaurant ,Turkish,Riyadh,4.6,22
274,Ward Restaurant ,Lebanese,Riyadh,4.5,31
275,Lumiere Lounge ,"International, American, Italian",Dammam,4.6,19
277,Brunch and Cake ,International,Riyadh,4.6,34
278,Urth Caffe ,"American, International",Riyadh,4.5,26
279,Fez Moroccan Restaurant ,Morrocan,Riyadh,4.6,21
280,Meatin Grill's Korean BBQ ,Korean,Riyadh,4.5,32
281,Cake Me Out ,"Cafe, Coffee & Tea, Desserts",Riyadh,4.6,28
282,Zafran Indian Bistro ,Indian,Riyadh,4.5,27
283,Sahtein Restaurant ,"Lebanese, Mediterranean",Makkah,4.6,23
284,Gallery Cafe ,International,Riyadh,4.5,27
285,Entrecote Cafe de Paris ,Swiss,AlUla,4.6,20
286,Lily Restaurant ,Breakfast,Riyadh,4.5,18
287,Almajles Al Khaleeji Restaurant ,Arabic,Riyadh,4.6,18
288,Villa Mamas ,"Arabic, Middle Eastern, Lebanese",Riyadh,4.5,25
289,Les Deux Magots ,French,Riyadh,4.6,20
290,Nando's ,"Spanish, Portuguese",Riyadh,4.5,28
291,Robata ,Japanese,Riyadh,4.6,35
292,Raoul's ,"American, French",Riyadh,4.5,21
293,COYA ,"Japanese, Latin American, Peruvian",Riyadh,4.6,32
294,Chi Spacca ,"American, Italian",Riyadh,4.5,23
295,AVAK ,"Mediterranean, Middle Eastern",Riyadh,4.6,14
296,Monopoly ,Italian,Riyadh,4.5,26
297,Daimumah Restaurant ,"Arabic, Saudi",AlUla,4.6,15
298,Yakinikumafia ,Japanese,Riyadh,4.5,12
299,Baco ,"Latin American, Mexican, Asian",Riyadh,4.6,15
300,Bianca ,"French, Mediterranean",Riyadh,4.5,25
301,Hot N Spicy Grill ,Pakistani,Jeddah,4.6,12
302,Sobhy Kaber ,,Riyadh,4.5,15
303,The Lounge ,"International, Middle Eastern",Riyadh,4.6,22
304,Pronto Restaurant ,Italian,Jeddah,4.5,14
305,BEING ,American,AlUla,4.6,7
306,La Palma ,International,AlUla,4.5,20
307,The Carnivore ,"Arabic, Middle Eastern, Saudi",Riyadh,4.6,8
308,Niyyali ,Lebanese,Jeddah,4.5,20
309,Swiss Butter ,Steakhouse,Riyadh,4.6,25
310,Swiss Butter ,Steakhouse,Al Khobar,4.5,7
311,ROKA Jeddah ,Japanese,Jeddah,4.6,27
312,Josef Yozef Coffee House ,"Bakery, Cafe, Coffee & Tea",Jeddah,4.5,17
313,Olive Tree Restaurant ,International,Jeddah,4.6,21
314,The Shell Cafe ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.5,13
315,Al Moltaqa Café ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.6,23
316,Pampas Restaurant ,"Brazilian, International",Jeddah,4.5,28
317,Al Liwan Restaurant ,International,Jeddah,4.6,9
